AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2011-12,1,8.5,8.2,8.5,10,"4,323","51,102",> 100%
National,,All,2011-12,2,8.6,8.2,8.3,7,"4,245","50,962",> 100%
National,,All,2011-12,3,8.6,8.3,8.4,9,"4,261","51,010",> 100%
National,,All,2011-12,4,8.7,8.3,8.4,11,"4,227","50,163",> 100%
National,,All,2011-12,5,8.7,8.3,8.1,9,"4,026","49,568",> 100%
National,,All,2011-12,6,8.7,8.4,8.1,19,"4,024","49,854",> 100%
National,,All,2011-12,7,8.7,8.4,8.2,15,"4,129","50,662",> 100%
National,,All,2011-12,8,8.7,8.4,8.3,29,"4,191","50,892",> 100%
National,,All,2011-12,9,8.7,8.3,8.4,43,"4,234","50,879",> 100%
National,,All,2011-12,10,8.6,8.3,8.7,59,"4,346","50,740",> 100%
National,,All,2011-12,11,8.6,8.2,8.6,62,"4,288","50,744",> 100%
National,,All,2011-12,12,8.5,8.2,8.3,57,"4,060","49,308",> 100%
National,,All,2011-12,13,8.4,8.1,8,55,"3,796","48,287",> 100%
National,,All,2011-12,14,8.4,8,8,48,"3,829","48,391",> 100%
National,,All,2011-12,15,8.3,7.9,7.7,23,"3,758","49,064",> 100%
National,,All,2011-12,16,8.2,7.8,7.6,37,"3,690","48,896",> 100%
National,,All,2011-12,17,8.1,7.7,7.5,37,"3,573","48,103",> 100%
National,,All,2011-12,18,8,7.6,7.4,27,"3,527","47,784",> 100%
National,,All,2011-12,19,7.8,7.5,7.2,15,"3,330","46,723",98.2%
National,,All,2011-12,20,7.7,7.4,7.1,16,"3,329","46,996",98.8%
National,,All,2011-12,21,7.6,7.3,7.1,13,"3,290","46,755",98.3%
National,,All,2011-12,22,7.5,7.2,6.8,8,"3,138","46,026",96.7%
National,,All,2011-12,23,7.4,7.1,6.6,9,"3,068","46,349",97.4%
National,,All,2011-12,24,7.3,7,6.7,4,"3,153","46,788",98.3%
National,,All,2011-12,25,7.2,6.9,6.8,2,"3,147","46,128",96.9%
National,,All,2011-12,26,7.1,6.8,6.9,3,"3,159","46,077",96.8%
National,,All,2011-12,27,7,6.7,6.4,6,"3,004","46,688",98.1%
National,,All,2011-12,28,7,6.6,6.6,2,"3,033","45,930",96.5%
National,,All,2011-12,29,6.9,6.6,6.6,1,"3,011","45,935",96.5%
National,,All,2011-12,30,6.9,6.5,6.3,1,"2,889","45,654",96%
National,,All,2011-12,31,6.8,6.5,6.6,1,"3,039","45,920",96.5%
National,,All,2011-12,32,6.8,6.5,6.6,5,"3,040","46,344",97.4%
National,,All,2011-12,33,6.8,6.5,6.6,4,"3,018","45,904",96.5%
National,,All,2011-12,34,6.8,6.5,6.4,4,"2,964","46,193",97.1%
National,,All,2011-12,35,6.8,6.5,6.5,5,"3,017","46,322",97.4%
National,,All,2011-12,36,6.8,6.5,6.7,2,"3,109","46,658",98.1%
National,,All,2011-12,37,6.9,6.5,6.8,0,"3,160","46,301",97.3%
National,,All,2011-12,38,6.9,6.6,6.7,1,"3,120","46,413",97.5%
National,,All,2011-12,39,7,6.7,6.8,2,"3,217","47,443",99.7%
National,,All,2010-11,40,7.5,7.2,7,5,"3,258","46,550",97.8%
National,,All,2010-11,41,7.6,7.3,7.4,7,"3,456","46,530",97.8%
National,,All,2010-11,42,7.7,7.4,7.3,3,"3,423","47,054",98.9%
National,,All,2010-11,43,7.8,7.5,7.5,5,"3,497","46,538",97.8%
National,,All,2010-11,44,7.9,7.6,7.4,5,"3,501","47,381",99.6%
National,,All,2010-11,45,8,7.7,7.5,3,"3,605","48,357",> 100%
National,,All,2010-11,46,8.1,7.8,7.4,9,"3,540","48,101",> 100%
National,,All,2010-11,47,8.3,7.9,7.6,13,"3,606","47,719",> 100%
National,,All,2010-11,48,8.4,8,7.9,9,"3,854","48,853",> 100%
National,,All,2010-11,49,8.5,8.1,7.6,13,"3,826","50,255",> 100%
National,,All,2010-11,50,8.6,8.2,7.9,12,"4,024","51,166",> 100%
National,,All,2010-11,51,8.7,8.3,8.1,18,"4,093","50,853",> 100%
National,,All,2010-11,52,8.8,8.4,8.7,30,"4,565","52,628",> 100%
National,,All,2010-11,1,8.8,8.5,9.1,53,"4,766","53,109",> 100%
National,,All,2010-11,2,8.9,8.6,9.1,65,"4,700","52,613",> 100%
National,,All,2010-11,3,9,8.6,9.1,67,"4,702","52,465",> 100%
National,,All,2010-11,4,9,8.7,9.3,88,"4,801","52,320",> 100%
National,,All,2010-11,5,9,8.7,9.2,106,"4,692","52,110",> 100%
National,,All,2010-11,6,9,8.7,9.3,150,"4,744","52,827",> 100%
National,,All,2010-11,7,9,8.7,9.6,192,"4,961","53,431",> 100%
National,,All,2010-11,8,9,8.7,9.9,173,"4,982","52,178",> 100%
National,,All,2010-11,9,9,8.7,9.6,183,"4,807","52,184",> 100%
National,,All,2010-11,10,9,8.6,9.4,165,"4,723","51,770",> 100%
National,,All,2010-11,11,8.9,8.6,9.1,147,"4,487","50,752",> 100%
National,,All,2010-11,12,8.9,8.5,8.9,94,"4,326","49,758",> 100%
National,,All,2010-11,13,8.8,8.4,8.6,79,"4,182","49,442",> 100%
National,,All,2010-11,14,8.7,8.3,8.3,75,"4,054","49,774",> 100%
National,,All,2010-11,15,8.6,8.2,8.3,47,"3,958","48,279",> 100%
National,,All,2010-11,16,8.5,8.1,8.2,32,"3,891","47,947",> 100%
National,,All,2010-11,17,8.4,8,7.8,13,"3,692","47,521",99.9%
National,,All,2010-11,18,8.3,7.9,7.9,20,"3,745","47,366",99.6%
National,,All,2010-11,19,8.1,7.8,7.9,3,"3,735","47,464",99.8%
National,,All,2010-11,20,8,7.7,7.7,7,"3,575","46,635",98%
National,,All,2010-11,21,7.9,7.6,7.6,5,"3,543","46,604",97.9%
National,,All,2010-11,22,7.8,7.4,7.6,5,"3,493","46,256",97.2%
National,,All,2010-11,23,7.7,7.3,7.4,3,"3,457","46,534",97.8%
National,,All,2010-11,24,7.6,7.2,7.3,5,"3,333","45,983",96.6%
National,,All,2010-11,25,7.4,7.1,7.3,2,"3,328","45,729",96.1%
National,,All,2010-11,26,7.4,7,7.3,3,"3,346","45,955",96.6%
National,,All,2010-11,27,7.3,6.9,7,1,"3,189","45,678",96%
National,,All,2010-11,28,7.2,6.8,6.9,2,"3,146","45,311",95.2%
National,,All,2010-11,29,7.1,6.8,7,3,"3,184","45,694",96%
National,,All,2010-11,30,7.1,6.7,6.7,3,"2,990","44,984",94.5%
National,,All,2010-11,31,7,6.7,6.6,1,"3,002","45,687",96%
National,,All,2010-11,32,7,6.7,6.7,2,"3,024","45,269",95.1%
National,,All,2010-11,33,7,6.6,6.6,1,"2,980","44,994",94.6%
National,,All,2010-11,34,7,6.6,6.8,3,"3,061","44,901",94.4%
National,,All,2010-11,35,7,6.7,6.7,4,"3,068","45,515",95.7%
National,,All,2010-11,36,7,6.7,6.7,2,"3,000","45,120",94.8%
National,,All,2010-11,37,7.1,6.7,6.7,2,"3,036","45,087",94.8%
National,,All,2010-11,38,7.1,6.8,7,1,"3,200","46,015",96.7%
National,,All,2010-11,39,7.2,6.9,7,1,"3,162","45,379",95.4%
